identifier,collection,abstract,authors,subject,title
2840,0391: Eli Camden Henderson Papers,"Max ""Hippo"" Poscover, Davis and Elkins College football player, ca. 1930, black and white photograph. Sam Clagg in his book states Poscover was a member of the D&E College football team when they were ""Knocking off top clubs."" no postmark, no addressee.",,"Subject Terms: Davis & Elkins College Elkins, W. Va. Football Football players People: Poscover, Max ""Hippo"" ","Max ""Hippo"" Poscover, Davis & Elkins College football player, ca. 1930"
2841,0391: Eli Camden Henderson Papers,"Roxie Henderson and 2 year old daughter Camille, April 1930, black and white photograph. Back reads: Apr 20, 1930 age 2yrs 3 mos.",,"Subject Terms:   People: Henderson, Roxie Bell Henderson, Camille ","Roxie Henderson and daughter Camille, Apr. 1930"
2842,0391: Eli Camden Henderson Papers,"The Fairmont Hotel, Fairmont, W.Va., ca. 1930, col. No postmark no addressee.",,"Subject Terms: Fairmont, W. Va. Fairmont Hotel Hotels Studio:Robbins & son ","The Fairmont Hotel, Fairmont, W.Va., ca. 1930"
2843,0391: Eli Camden Henderson Papers,"Victory High School, Clarksburg, W.Va. football team, ca. 1930's, black and white photograph. Farley Bell, coach, standing on far left in suit. notes on back reads: Victory High Football squad Notes make it appear that photo ran in the ""Clarksburg Exponent"" newspaper.",,"Subject Terms: Victory High School Clarksburg, W. Va. Football Football players People: Bell, Farley Studio:Sayre Studio ","Victory Hi School, Clarksburg, W.Va., football team, ca. 1930's"
2844,0391: Eli Camden Henderson Papers,"Weston High School basketball team, Farley Bell on right holding hat, black and white photograph. Farley Bell, coach, standing on far right in suit.",,"Subject Terms: Weston, W.Va. Weston High School Basketball Basketball players People: Bell, Farley Studio:Ellis Studio ","Weston, W.Va. High School basketball team, ca. 1930's"
2845,0403: Grady Risen Collection,"1029 - 1025 4th Aveune, Huntington, W.Va., b&w. Note says: ""1930 photo"" photo glued on back of appraisal dated April 4, 1930.",,"Subject Terms: Huntington, W. Va. Business districts ","1029 - 1025 4th Avenue, Huntington, W.Va."
2846,0403: Grady Risen Collection,"1040 - 1044 4th Aveune, Huntington, W.Va., b&w. Note says: ""1930 photo"" photo glued on back of appraisal dated March 19, 1930.",,"Subject Terms: Huntington, W. Va. Business districts ","1040 - 1044 4th Avenue, Huntington, W.Va."
2847,0403: Grady Risen Collection,"1109 - 1111 3rd Avenue, Huntington, W.Va., b&w. Note says: ""1930 photo "" Photo glued on back of appraisal form dated Feb. 10, 1930.",,"Subject Terms: Huntington, W. Va. Business districts ","1109 - 1111 3rd Avenue, Huntington, W.Va."
2848,0403: Grady Risen Collection,"S. E. corner 3rd Ave at 8th Street, Huntington, W.Va., showing the old Huntington Theatre, b&w. Note says: ""1930 photo "" and shows old Huntington Theatre.",,"Subject Terms: Huntington, W. Va. Business districts ","S. E. corner 3rd ave at 8th Street & Huntington Theatre, Huntington, W.Va."
2849,0403: Grady Risen Collection,"S.W. corner 3rd Ave at 9th Street, Huntington, W.Va., b&w. Note says: ""1930 photo"".",,"Subject Terms: Huntington, W. Va. Business districts ","S.W. corner, 3rd Ave at 9th Street, Huntington, W.Va."
2850,0405: Curtis F. Baxter Papers,"Rev. J. Frank Baxter, father of Curtis Baxter, ca. 1930's, b&w mounted on cardboard. Rev. Baxter was Curtis Baxter's father.",,"Subject Terms: Proctor Studio Preachers People: Baxter, Curtis F. Baxter, J. Frank Studio: Proctor ","Rev. J. Frank Baxter, W.Va., ca. 1930"
2851,0484: William Wallace Photograph Collection,"Stauton Road residence, Huntington, W.Va. Back reads ""Staunton Road"".",,"Subject Terms: Cabell Co., W. Va. Huntington, W. Va. Staunton Road Houses ","Stauton Road residence, Huntington, W.Va."
2852,0484: William Wallace Photograph Collection,"Stauton Road residence. Back reads ""Staunton Road"".",,"Subject Terms: Cabell Co., W. Va. Huntington, W. Va. Houses ",Stauton Road residence
2853,0493: Revella Hughes Papers,"Revella Hughes and the Four Bon-Bons, b&w photocopy. Quartet formed by Revella Hughes.",,"Subject Terms: The Four Bon-Bons Quartet Singers People: Hughes, Revella; Harvey, Georgette; Parker, Lois; Williams, Musa Studio: Nasib ",Revella Hughes and the Four Bon-Bons
2854,0493: Revella Hughes Papers,"Revella Hughes and the Four Bon-Bons, b&w photocopy. Quartet formed by Revella Hughes.",,"Subject Terms: The Four Bon-Bons Quartet Singers People: Hughes, Revella; Harvey, Georgette; Parker, Lois; Williams, Musa Studio: Nasib ",Revella Hughes and the Four Bon-Bons
2855,0493: Revella Hughes Papers,"Revella Hughes and the Four Bon-Bons, b&w photocopy. Quartet formed by Revella Hughes.",,"Subject Terms: The Four Bon-Bons Quartet Singers People: Hughes, Revella; Harvey, Georgette; Parker, Lois; Williams, Musa ",Revella Hughes and the Four Bon-Bons
2856,0493: Revella Hughes Papers,"Revella Hughes and the Four Bon-Bons, b&w photocopy. Quartet formed by Revella Hughes.",,"Subject Terms: The Four Bon-Bons Quartet Singers People: Hughes, Revella; Harvey, Georgette; Parker, Lois; Williams, Musa ",Revella Hughes and the Four Bon-Bons
2857,0493: Revella Hughes Papers,"Revella Hughes and the Four Bon-Bons, b&w. Quartet formed by Revella Hughes.",,"Subject Terms: The Four Bon-Bons Quartet Singers People: Hughes, Revella; Harvey, Georgette; Parker, Lois; Williams, Musa ",Revella Hughes and the Four Bon-Bons
2858,0493: Revella Hughes Papers,"Revella Hughes in the Wandering Gypsies, b&w. Caption reads, ""The girls are currently touring American bases around the world."".",,"Subject Terms: Wandering Gypsies Military Entertainers Singers USO clubs People: Hughes, Revella; Markoff, Gipsy; Campbell, Jacki; Leigh, Sherri; Rogers, Derby; Wallace, Royce; Chu, Ming; Downie, Babs; Talbot, Jerry; Anthony, Lee ",Revella Hughes in the Wandering Gypsies
2859,0493: Revella Hughes Papers,"Revella Hughes poster, b&w.",,"Subject Terms: Singers People: Hughes, Revella ",Revella Hughes
2860,0493: Revella Hughes Papers,"Revella Hughes, b&w.",,"Subject Terms: Singers People: Hughes, Revella ",Revella Hughes
2861,0493: Revella Hughes Papers,"Revella Hughes, b&w.",,"Subject Terms: Singers People: Hughes, Revella ",Revella Hughes
2862,0525: Doris C. Miller Papers,"""Uncle Dyke"" Garret, Logan County preacher who baptized Devil Anse Hatfield, b&w. Caption on back reads: Uncle Dyke Garrett who baptized Devil Anse Hatfield (Garret was born December 10, 1841-died May 29, 1938) Member Logan Wildcats (Company D 36th Virginia Infantry CSA) with Devil Anse Hatfield. became well-known Logan County preacher postwar. (typed stamp of Jean Thomas, ""The Traipsin Woman"" Ashland, Ky).",,"Subject Terms: Logan County, WV Logan Wildcats 36th Virginia Infantry Confederate States Army Preachers People: Garrett, Dyke Garrett, ""Uncle Dyke"" Hatfield, Anderson ""Devil Anse"" ","""Uncle Dyke"" Garret, Logan County preacher who baptized Devil Anse Hatfield"
2863,0525: Doris C. Miller Papers,"""Uncle Dyke"" Garret, Logan County preacher who baptized Devil Anse Hatfield, b&w. Caption on front reads: Uncle ""Dike"" Garrett baptized Devil ""Anderson"" Hatfield (Garrett also preached his funeral.) (Garret was born December 10, 1841-died May 29, 1938) Member Logan Wildcats (Company D 36th Virginia Infantry CSA) with Devil Anse Hatfield. became well-known Logan County preacher postwar.",,"Subject Terms: Logan County, WV Logan Wildcats 36th Virginia Infantry Confederate States Army Preachers People: Garrett, Dyke Garrett, ""Uncle Dyke"" Hatfield, Anderson ""Devil Anse"" ","""Uncle Dyke"" Garret, Logan County preacher who baptized Devil Anse Hatfield"
2864,0525: Doris C. Miller Papers,"""Uncle Dyke"" Garret, Logan County preacher who baptized Devil Anse Hatfield, b&w. Note on back reads: Dyke Garrett (Garrett was born December 10, 1841-died May 29, 1938) Member Logan Wildcats (Company D 36th Virginia Infantry CSA) with Devil Anse Hatfield. became well-known Logan County preacher postwar. (typed stamp of Jean Thomas, ""The Traipsin Woman"" Ashland, Ky).",,"Subject Terms: Logan County, WV Logan Wildcats 36th Virginia Infantry Confederate States Army Preachers People: Garrett, Dyke Garrett, ""Uncle Dyke"" Hatfield, Anderson ""Devil Anse"" ","""Uncle Dyke"" Garret, Logan County preacher who baptized Devil Anse Hatfield"
2865,0525: Doris C. Miller Papers,"""Uncle Dyke"" Garret, on horseback Logan County preacher who baptized Devil Anse Hatfield, b&w. Note on back reads: H.C. DeVore, Ona, WV, 736-1495 (Garret was born December 10, 1841-died May 29, 1938) Member Logan Wildcats (Company D 36th Virginia Infantry CSA) with Devil Anse Hatfield. became well-known Logan County preacher postwar. (typed stamp of Jean Thomas, ""The Traipsin Woman"" Ashland, Ky).",,"Subject Terms: Logan County, WV Logan Wildcats 36th Virginia Infantry Confederate States Army Preachers People: Garrett, Dyke Garrett, ""Uncle Dyke"" Hatfield, Anderson ""Devil Anse"" ","""Uncle Dyke"" Garret, Logan County preacher who baptized Devil Anse Hatfield"
2866,0547: Morrow Family Papers,"Dwight Morrow, probably when running for Senator, 1930,, b&w. Notes on back read: Dwight Morrow (1930).",,"Subject Terms: Morrow family Political campaigns People: Morrow, Dwight ","Dwight Morrow, ca. 1930"
2867,0596: C. Clifford Caverlee Collection,"Aeroplane View of Moundsville, ,WVa, postcard, col. ; 9 x 14 cm. No postmark, no addressee Photo by U. S. Army Air Service.",,"Subject Terms: Moundsville, W. Va. Marshall County, W. Va. Aerial photographs Aerial views ","Aeroplane View Showing Moundsville,WVa"
2868,0596: C. Clifford Caverlee Collection,"Birds eye view of Buckhannon, W.Va., postcard, col.; 9 x 14 cm. No postmark, no addressee.",,"Subject Terms: Buckhannon, W.Va.  ","Bird's Eye view of Buckhannon, W.Va."
2869,0596: C. Clifford Caverlee Collection,"Bird's-eye view of Bluefield,WVa showing East River Mountain, Bluefield,W.Va., postcard, col. ; 9 x 14 cm. No postmark, no addressee.",,"Subject Terms: Bluefield, W. Va.  ","Birds-eye view of Bluefield,W.Va. showing East River Mountain"
2870,0596: C. Clifford Caverlee Collection,"Guthrie hospital, Huntington, W. Va., c. 1930. 1 postcard : col. ; 9 x 14 cm.",,"Subject Terms: Huntington, W. Va. Guthrie hospital Hospitals Studio: Randson ","Guthrie hospital, Huntington, W. Va., c. 1930."
2871,0596: C. Clifford Caverlee Collection,"Main Street, looking North, Beckley, W.Va., postcard, col.; 9 x 14 cm. Postmarked July 15, 1930, Beckley, W.Va. addressed to Mr. J. H. Barymore, Spring Harbor, Mich.",,"Subject Terms: Beckley, W. Va.  ","Main Street, looking North, Beckley, W.Va."
2872,0625: Mark Freeman Papers,"Mark Freeman baby picture, 1930's, b&w. (From a page of Mark's baby pictures).",,"Subject Terms: Babies Baby pictures  People: Freeman, Mark ","Mark Freeman baby picture, 1930's"
2873,0703: Rosanna Blake Collection,"Silhouette of Robert E. Lee, by Alonzo Cox, ca. 1931, b&w John O'Brien stated when he donated this that this was a gift from his mother when he was age 10 (1940).",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Generals People: Lee, Robert E. (Robert Edward), 1807-1870 Cox, Alonzo ","Silhouette of Robert E. Lee, by Alonzo Cox, ca. 1931"
2874,"0703: Rosanna Blake Collection, Personal Papers","Studio portrait of Rosanna Blake, ca. 1930, b&w. Caption reads W. Archibald Wallace, 1930 Appears to have been made at same time as her other High School graduation photos.",,"Subject Terms: Rosanna Blake Collection Collectors Studio: Washington Star People: Blake, Rosanna Alexander ","Studio portrait of Rosanna Blake, ca. 1930"
2875,"0703: Rosanna Blake Collection, Personal Papers","Studio portrait Rosanna Blake, 1930, b&w. Caption reads W. Archibald Wallace, 1930 Probably High School graduation photo.",,"Subject Terms: Rosanna Blake Collection Wallace, W. Archibald Collectors Studio: W. Archibald Wallace Washington Star People: Blake, Rosanna Alexander ","Studio portrait Rosanna Blake, 1930"
2876,"0703: Rosanna Blake Collection, Personal Papers","Studio portrait Rosanna Blake, 1930, b&w. Caption reads W. Archibald Wallace, 1930 Probably High School graduation photo.",,"Subject Terms: Rosanna Blake Collection Wallace, W. Archibald Collectors Studio: W. Archibald Wallace Washington Star People: Blake, Rosanna Alexander ","Studio portrait Rosanna Blake, 1930"
2877,0711: Seamonds-Willey Family Papers,"A. J. ""Jack"" Seamonds, b&w. caption on top reads: Jack Seamonds (Seamonds was an engineman for the C&O RR) This is glued into the photo album.",,"Subject Terms: Seamonds family Men People: Seamonds, A. J. ""Jack"" ","A. J. ""Jack"" Seamonds"
2878,0711: Seamonds-Willey Family Papers,"George Seamonds, ca. 1930. George Seamonds written on photo glued to album page.",,"Subject Terms: Seamonds family Men People: Seamonds, George R. ","George Seamonds, ca. 1930"
2879,0797: Woman's Club of Huntington Collection,"Huntington Woman's Club building, ca. 1930, b&w. Back reads: ca. 1930.",,Subject Terms: Woman's Club of Huntington GFWC Buildings ,"Huntington Woman's Club building, ca. 1930"
2880,0799: Jean Edward Smith Papers,"Franklin Delano Roosevelt awarding medal to Admiral Richard E. Byrd, Nov. 19, 1930, b&w. Label on back reads: Adm. Byrd (Abany), June 24, 1930 (This was a few days after Byrd's return from his first Antarctic Expedition.) (Roosevelt was president from 1933–1945.) This set of roosevelt photos are from Jean Ed. Smith's files and papers used for his book on Franklin Delano Roosevelt.",,"Subject Terms:  Presidents Admirals Awards People: Roosevelt, Franklin Delano Byrd, Richard E. ","Franklin Delano Roosevelt awarding medal to Admiral Richard E. Byrd, Nov. 19, 1930"
2881,"0847: John Hawes Miller, Jr. West Virginia Postcard Collection","Greenbrier River, Lewisburg, W.Va., on the Midland Trail, 1930, b&w, 9 x 14cm. Postmarked Elkins, W.Va., July 25, 1930 addressed to Mrs. Thos C. Burke, Buffalo, N.Y.",,"Subject Terms: Greenbrier River Lewisburg, W.Va. Midland Trail Rivers Trails & paths Studio: Pub. by Mason Bell & Co., Lewisburg, W.Va. ","Greenbrier River, Lewisburg, W.Va., on the Midland Trail, 1930"
2882,"0236: Fred B. Lambert Papers, 1809-1964","Faculty, Guyan Valley High School, Branchland, W.Va., image in black and white. caption on front reads: ""Faculty, Guyan Valley High School, 12-2-30"" Back reads: ""Guyan Valley High School, R.F.D. Branchland, W.Va., F. B. Lambert, Principal""",,"People: Lambert, Fred B. Subject Terms: Branchland, W.Va. Guyan Valley High School Schools Teachers Studio: Thomas Studio ","Faculty, Guyan Valley High School, Branchland, W.Va."
2883,"0236: Fred B. Lambert Papers, 1809-1964","Senior Class, Guyan Valley High School, Branchland, W.Va., image in black and white. caption on front reads: ""Senior Class, Guyan Valley High School, 12-2-30"" Back reads: ""F. B. Lambert, Principal, left side""",,"People: Lambert, Fred B. Subject Terms: Branchland, W.Va. Guyan Valley High School Schools Studio: Thomas Studio ","Senior Class, Guyan Valley High School, Branchland, W.Va."
2884,"0236: Fred B. Lambert Papers, 1809-1964","Student Body, Guyan Valley High School, Branchland, W.Va., image in black and white. caption on front reads: ""Student Body, Guyan Valley High School, 12-2-30"" Back reads: ""Guyan Valley High School 1930-1931, F. B. Lambert, Principal "" Fred B. Lambert on far right, second row.",,"People: Lambert, Fred B. Subject Terms: Branchland, W.Va. Guyan Valley High School Schools Studio: Thomas Studio ","Students body, Guyan Valley High School, Branchland, W.Va."
2885,"0236: Fred B. Lambert Papers, 1809-1964","Freshman Class, Guyan Valley High School, Lincoln Co.,W.Va., image in black and white.. Fred B. Lambert standing on far left.",,"People: Lambert, Fred B. Subject Terms: Lincoln co., W. Va. Guyan Valley High School Thomas studio School children Studio: Thomas Studio ","School group, Guyan Valley High School, Lincoln Co.,W.Va."
2886,0099: Cabell-Wayne Historical Society Collection,"Dignitaries at American Legion Air Meet, Huntington WVa airport, Sept. 8, 1931, b&w This airport was across the Ohio River from Huntington,WVa, near Proctorville, Oh. Back reads: left to right: Mrs. louis Johnson, Dr. Henry D. Hatfield (governor and senator) Howard Mayes, Louis Johnson (Henry D. Hatfield was Senator from March 4, 1929 – January 3, 1935)",,"People: Hatfield, Gov. H.D. Hatfield, Henry D. Johnson, Louis Mayes, Howard Subject Terms:American Legion Air Meet Proctorville, Ohio Huntington Airport W.Va. Governors Senators Aircraft Airplanes Air fields","Dignitaries at Air Meet, Huntington WVa airport, Sept. 8, 1931"
2887,0255: Catherine Bliss Enslow Papers,"Movie publicity still of Gloria Swanson in ""Indiscreet"", ca. 1931, b&w. The movie was released May 16, 1931.",,"Subject Terms: ""Indiscreet"" Actresses People: Swanson, Gloria Studio: United Artists ","Gloria Swanson in ""Indiscreet"", 1931"
2888,0333: Ann Cutler Collection,"Closing of ""New York World"" newspaper when Ann Cutler worked there, b&w. Caption on back reads: Ann Cutler in dark dress, (4th from left.) (paper dated 1931)",,"People: Cutler, Ann Subject Terms: Journalism Journalists Newspapers New York World","Closing of ""New York World"" newspaper when Ann Cutler worked there"
2889,0333: Ann Cutler Collection,"Closing of ""New York World"" newspaper when Ann Cutler worked there, b&w. Caption on back reads: closing of the New York world paper for whom she worked. (paper dated 1931)",,"People: Cutler, Ann Subject Terms: Journalism Journalists Newspapers New York World","Closing of ""New York World"" newspaper when Ann Cutler worked there"
2890,0391: Eli Camden Henderson Papers,"Davis & Elkins College coaching school, front porch of Elkins, W.Va. YMCA, ca. 1931, black and white photograph. Sam Clagg captioned photo: D&E coaching school, front porch of Elkins YMCA, ca. 1931, Cam Henderson standing on left, in suit.",,"Subject Terms: Davis & Elkins College Elkins, W. Va. Coaching (Athletics) People: Henderson, Cam ","Davis & Elkins College coaching school, Elkins, W.Va. YMCA, ca. 1931"
2891,0403: Grady Risen Collection,"821 3rd Avenue, Huntington, W.Va., b&w. Note says: ""appraisal attached"" Photo glued on back of appraisal form dated Sept. 25, 1931.",,"Subject Terms: Huntington, W. Va. Business districts ","821 3rd Avenue, Huntington, W.Va."
2892,0403: Grady Risen Collection,"S.W. corner, 8th Avenue at 20th Street, Huntington, W.Va., b&w. Note says: ""appraisal on reverse side"" Photo glued on back of appraisal form dated Nov. 23, 1931.",,"Subject Terms: Huntington, W. Va. Business districts ","S.W. corner, 8th Avenue at 20th Street, Huntington, W.Va."
2893,0405: Curtis F. Baxter Papers,"Curtis Baxter, (on right,) Glenville, W.Va., Mar. 15, 1931, b&w. Back reads: Glenville, W.Va., March 15, 1931, ""At our home"" (Baxter taught at Glenville College from 1930 to 1935).",,"Subject Terms: Marshall Faculty Glenville State College  People: Baxter, Curtis F. ","Curtis Baxter, (right), Glenville, W.Va., Mar. 15, 1931"
2894,0405: Curtis F. Baxter Papers,"Curtis Baxter, Glenville, W.Va., Mar. 15, 1931, b&w. Back reads: Glenville, W.Va. Curtis going in home, March 15, 1931. (Baxter taught at Glenville College from 1930 to 1935).",,"Subject Terms: Marshall Faculty Glenville State College  People: Baxter, Curtis F. ","Curtis Baxter, Glenville, W.Va., Mar. 15, 1931"
2895,0405: Curtis F. Baxter Papers,"Curtis Baxter, on board the ""SS Saturnia"" sailing to Europe, June 8, 1931, b&w. Back reads: June 8, 1931. on board SS Saturnia sailing for Europe.",,"Subject Terms: Marshall Faculty ""SS Saturnia"" Ships People: Baxter, Curtis F. ","Curtis Baxter on board the SS Saturnia sailing to Europe, June 1931"
2896,0405: Curtis F. Baxter Papers,"Curtis Baxter, on his European trip of 1931, possibly in Venice, Italy, b&w.",,"Subject Terms: Marshall Faculty Vacations People: Baxter, Curtis F. ",Curtis Baxter on his European trip of 1931
2897,0418: Whittaker-Glanville Family Papers,"Mrs. Edward Lee Carter, Dec. 1931, b&w. Back reads: Mrs. Edward Lee Carter, taken in 1931 before Christmas.",,"Subject Terms: Women People: Carter, Mrs. Edward Lee ","Mrs. Edward Lee Carter, Dec. 1931"
2898,0633: Helen Alexander Papers,"View from Hawk's Nest overlook, Hawk's Nest State park, W.Va. June 6, 1931, b&w. Captions under photos on this album page reads: Hawks Nest, Sunday morning, June 6, 1931.",,"Subject Terms: Hawk's Nest State Park, W.Va. New River State parks & reserves ","View from Hawk's Nest overlook, Hawk's Nest State park, W.Va. June 6, 1931"
2899,0633: Helen Alexander Papers,"View from Hawk's Nest overlook, Hawk's Nest State park, W.Va. June 6, 1931, b&w. Captions under photos on this album page reads: Hawks Nest, Sunday morning, June 6, 1931.",,"Subject Terms: Hawk's Nest State Park, W.Va. New River State parks & reserves ","View from Hawk's Nest overlook, Hawk's Nest State park, W.Va. June 6, 1931"
2900,0799: Jean Edward Smith Papers,"Franklin Delano Roosevelt aboard the SS Aquitania, May 1931, b&w. Label on back reads:SS Aquitania, May 1931 (Roosevelt was president from 1933–1945.) This set of roosevelt photos are from Jean Ed. Smith's files and papers used for his book on Franklin Delano Roosevelt.",,"Subject Terms: SS Aquitania Presidents People: Roosevelt, Franklin Delano ","Franklin Delano Roosevelt aboard the SS Aquitania, May 1931"
2901,0799: Jean Edward Smith Papers,"Franklin Delano Roosevelt as a Seneca Chieftan, Syracuse State Fair, Sept. 6, 1930, b&w. Label on back reads: Seneca Chieftain, Syracuse State Fair, Sept. 6, 1930 (Roosevelt was president from 1933–1945.) This set of roosevelt photos are from Jean Ed. Smith's files and papers used for his book on Franklin Delano Roosevelt.",,"Subject Terms: Syracuse state fair Presidents People: Roosevelt, Franklin Delano ","Franklin Delano Roosevelt at Syracuse State Fair, Sept. 6, 1930"
2902,0799: Jean Edward Smith Papers,"Roosevelt family photo, Sept. 15, 1931, b&w. Label on back reads: Sept. 15, 1931 (Franklin Delano Roosevelt seated in middle, Eleanor standing behind him) (Roosevelt was president from 1933–1945.) This set of roosevelt photos are from Jean Ed. Smith's files and papers used for his book on Franklin Delano Roosevelt.",,"Subject Terms: Roosevelt family Presidents Families Group portraits People: Roosevelt, Franklin Delano Roosevelt, Eleanor ","Roosevelt family photo, Sept. 15, 1931"
2903,"0847: John Hawes Miller, Jr. West Virginia Postcard Collection","The Pastor's Tower, Romney,W.Va., 1931, b&w. Postmarked Romney, W.Va., May 7, 1931 addressed to Mrs. G. W. Copley, Shoals, W.Va.",,"Subject Terms: Romney, W.Va. Parson's Tower Towers ","The Pastor's Tower, Romney,W.Va., 1931"
2904,0099: Cabell-Wayne Historical Society Collection,"American Legion Air Meet, Huntington WVa airport, Sept. 8, 1931, b&w This airport was across the Ohio River from Huntington,WVa, near Proctorville, Oh.",,"People: Nichols, Clara Subject Terms:American Legion Air Meet Proctorville, Ohio Huntington Airport Aircraft Airports Airplanes","American Legion Air Meet, Huntington WVa airport, Sept. 8, 1931"
2905,0415: Sloan-Wyatt Family Papers,"""Old Ironsides,"" (the USS Constitution) at Yorktown, Oct. 16, 1931, b&w. Caption on back reads: ""Old Ironsides"" Yorktown, oct. 16, 1931 The USS constitution is the oldest ship in commissioned Naval service. It is a 3-masted, wooden-hulled frigate built in 1797.",,Subject Terms: Old Ironsides USS Constitution Battleships Ships ,"""Old Ironsides,"" (the USS Constitution) at Yorktown, Oct. 16, 1931"
2906,0194: Howard Burton Lee Papers,"Devil Anse Hatfield monument between Logan and Williamson, W.Va., col. No postmark, no addressee",,"People: Hatfield, Anderson ""Devil Anse"" Subject Terms: Hatfield and McCoy Feud Hatfields and McCoys Logan County, W.Va. Monuments & memorials","Devil Anse Hatfield monument between Logan & Williamson, W.Va."
2907,0227: Marshall University Regional Photograph Collection,"Huntington High School January Class of 1932, b&w.",,"Subject Terms: Huntington high school Huntington, W. Va. Schools  Studio: The National Studio ",Huntington High School January Class of 1932
2908,0227: Marshall University Regional Photograph Collection,"Huntington Typographical Union banquet, Huntington, W.Va., b&w. Long family papers, acc 348, June 1982 all men identified on back of photo Pub. in Herald Advertiser, Sept. 4, 1932, p.10",,"Subject Terms: Huntington, W. Va. Huntington Typographical Union   Studio: Thomas Photo ","Huntington Typographical Union Banquet, Huntington, W.Va."
2909,0255: Catherine Bliss Enslow Papers,"Cab Calloway & his orchestra, in movie ""The Big Broadcast"", 1932, b&w. Movie ""The Big Broadcast"" was released 14 Oct 1932 and starred Bing Crosby. (There is no mention in Imdb.com about Calloway being in this movie.) back reads: Cal Calloway & his orchestra in Paramount's ""The Big Broadcast."".",,"Subject Terms: ""The Big Broadcast"" Orchestras Conductors People: Calloway, Cab ","Cab Calloway & his orchestra in ""The Big Broadcast"", 1932"
2910,0255: Catherine Bliss Enslow Papers,"Wyatt Smith, 1932, b&w. Photo is reversed, caption reads W. Archibald Wallace, 1932 Wiatt Smith was editor of Huntington Herald-Dispatch.",,"Subject Terms: W. Archibald Wallace Studio Huntington Herald-Dispatch HUPCO Newspaper editors People: Smith,Wiatt Wallace, W. Archibald Studio: W. Archibald Wallace ","Wyatt Smith, 1932"
2911,0379: Alma Nease Noble Papers,"Ellen Irene Gilmour, 1932, b&w. Note on back reads: 1932, Ellen Irene Gilmour.",,"People: Gilmour, Ellen Irene ","Ellen Irene Gilmour, 1932"
2912,0403: Grady Risen Collection,"2209 - 2215 3rd Avenue, Huntington, W.Va., b&w. Note says: ""2209 - 2215 3rd Ave., 1932"".",,"Subject Terms: Huntington, W. Va. Business districts ","2209 - 2215 3rd Avenue, Huntington, W.Va."
2913,0536: Hines Family Papers,"Oscar Hines, Jr. , Grace Hines and children Taylor and Geneva. Back reads: Oscar and Grace Hines with Taylor and Geneva (Oscar Jr. was a son of Dr. Oscar T. Hines and first wife, Carrie Winkers Hines)",,"Subject Terms: East Lynn, W.Va.; Hines family; Families People: Hines, Oscar Jr.; Hines, Grace; Hines, Taylor; Hines, Geneva ","Oscar Hines, Jr., Grace Hines & children Taylor and Geneva"
2914,0596: C. Clifford Caverlee Collection,"Main Building, Broaddus College, Philippi, W.Va. postcard, col.; 9 x 14 cm. Postmarked May 12, 1932, Philippi, W.Va. addressed to Miss Olive Riggleman, Barboursville, W.Va. hand-written note on front states ""Burned down 1978"".",,"Subject Terms: Philippi, W.Va. Alderson-Broaddus College Broaddus College Alderson Broaddus University Schools ","Main Building, Broaddus College, Philippi, W.Va."
2915,0633: Helen Alexander Papers,"Alexander family at Hawk's Nest State Park, W.Va., 1932, b&w. back reads: Hawks Nest, Sept. 1932.",,"Subject Terms: Hawk's Nest State Park, W.Va. Alexander family Parks State parks & reserves People: Alexander, Helen ","Alexander family at Hawk's nest State park, 1932"
2916,0703: Rosanna Blake Collection,"Program of the 42nd Annual Confederate Reunion, Richmond, June, 1932, 76 pages This included both the United Confed. Veterans (UCV) and the Sons of Confed. Veterans, (SCV), and the Confederated Southern memorial Association.",,"Subject Terms: Confederate States of America United Confederate Veterans Sons of Confederate Veterans 42nd Confederate Reunion Richmond, Va. Confederated Southern memorial Association. Programs Reunions ","Program of the 42nd Annual Confederate Reunion, Richmond, June, 1932, 76 pages"
2917,"0703: Rosanna Blake Collection, Personal Papers","Merrill C. Blake, Rosanna Blake's father, b&w. Probably done for his political campaign in 1932 for Cabell County Circuit Court Clerk.",,"Subject Terms: Blake family  Studio: Washington Star People: Blake, Merrill C. ","Merrill C. Blake, Rosanna Blake's father,"
2918,"0703: Rosanna Blake Collection, Personal Papers","Political campaign card for Merrill C. Blake , b&w. A handout political card for Blake's run for Cabell County Circuit Clerk.",,"Subject Terms: Blake family Political campaigns Studio: Washington Star People: Blake, Merrill C. ",Political campaign card for Merrill C. Blake
2919,0770: Carrie Eldridge Collection,"Wild Cat school (Smick), Teacher, Mary Farmer,1932/33,12.7x17.7cm.",,"Subject Terms: Schools School houses School children Cabell County, W. Va. Wild Cat school ","Wild Cat school (Smick), Teacher, Mary Farmer,1932/33"
2920,0787: Myers Family Collection,"Bobbie Myers, age 4 years, with Jimmie Myers, Charleston, W.Va., Sunday, July 24, 1932 , b&w. Back reads: Bobbie 4years old, Bobbie Jimmie Taken in Charleston Sunday, July 24, 1932 This is located in box 1, folder marked sbk 2 1.",,"Subject Terms: Myers Transfer and Storage Myers Family  People: Myers, Bobbie Edward Myers, Jimmie ","Bobbie Myers, age 4 years with Jimmie Myers, 1932"
